date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:17	41309/41309	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2012:15:17%20GMT	https://writerzhub.com/	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/index.html	(from )
15:15:17	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20May%202024%2012:15:16%20GMT	https://writerzhub.com/robots.txt		(from )
15:15:18	20181/20181	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20May%202024%2012:33:37%20GMT	https://writerzhub.com/logo.jpg	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/logo.jpg	(from https://writerzhub.com/)
15:15:18	16470/16470	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2009:04:16%20GMT	https://writerzhub.com/assets/libs/swiper/swiper-bundle.min.css	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/assets/libs/swiper/swiper-bundle.min.css	(from https://writerzhub.com/)
15:15:18	1243/1243	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2006%20Feb%202023%2009:04:16%20GMT	https://writerzhub.com/assets/js/layout.js	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/assets/js/layout.js	(from https://writerzhub.com/)
15:15:19	241886/241886	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2009:04:16%20GMT	https://writerzhub.com/assets/css/bootstrap.min.css	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/assets/css/bootstrap.min.css	(from https://writerzhub.com/)
15:15:20	556916/556916	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2009:04:16%20GMT	https://writerzhub.com/assets/css/icons.min.css	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/assets/css/icons.min.css	(from https://writerzhub.com/)
15:15:21	347462/347462	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Aug%202023%2017:38:07%20GMT	https://writerzhub.com/assets/css/app.min.css	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/assets/css/app.min.css	(from https://writerzhub.com/)
15:15:22	44/44	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2009:04:16%20GMT	https://writerzhub.com/assets/css/custom.min.css	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/assets/css/custom.min.css	(from https://writerzhub.com/)
15:15:23	13264/13264	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2012:15:23%20GMT	https://writerzhub.com/login	C:/Users/chlorine%20ion/Desktop/website/writerzhub.com/login.html	(from https://writerzhub.com/)
